rearrancar reboot
pantalla screen
texto text
virus virus
tinta ink
mitad half
interno internal
memoria memory
papel paper
energia power
fallo bug
pelo hair
el the
dos two
todas all
en in
de of
los the
comprar buy
tarde afternoon
quieres want
muchachos boys
tienen have
ordenador computer
con with
antes before
vacio empty
tú you
hambre hunger
contaminado corrupt
a to
una a
la the
cafe brown
su your
es is
quiero want
vamos let's go
mi my
barco ship
nosotros we
casa house
yo I
borrar to delete
necesita necessary
despues after
